date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:38	137710/137710	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Mar%202025%2010:15:34%20GMT	https://www.widelab.co/	C:/Users/guilh/Downloads/Genesis/www.widelab.co/index.html	(from )
18:35:38	74/74	---MCZ	200	added ('OK')	text/plain	date:Wed,%2019%20Mar%202025%2012:38:12%20GMT	https://www.widelab.co/robots.txt		(from )
18:35:38	153291/153291	---M-Z	200	added ('OK')	text/css	etag:%22c4a6e3a661d4ef5d928c6dfe78dded11%22	https://cdn.prod.website-files.com/6422b97da981524088bb0b36/css/wideweb.07d4eb846.min.css	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da981524088bb0b36/css/wideweb.07d4eb846.min.css	(from https://www.widelab.co/)
18:35:38	202/202	---M--	200	added ('OK')	image/png	etag:%22370a1949cebbb402a3c287d512cb4f18%22	https://cdn.prod.website-files.com/6422b97da981524088bb0b36/6422b97da98152b67abb0ba6_favicon.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da981524088bb0b36/6422b97da98152b67abb0ba6_favicon.png	(from https://www.widelab.co/)
18:35:38	779/779	---M--	200	added ('OK')	image/png	etag:%22864496f21c1aa145319ecdde3de722a1%22	https://cdn.prod.website-files.com/6422b97da981524088bb0b36/6422b97da98152fb84bb0b97_webclip.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da981524088bb0b36/6422b97da98152fb84bb0b97_webclip.png	(from https://www.widelab.co/)
18:35:39	6370/6370	---M--	502	error ('Bad%20Gateway')	text/html	date:Wed,%2019%20Mar%202025%2021:33:02%20GMT	https://www.widelab.co/%c3%a2%c2%80%c2%9dhttp://cdn.jsdelivr.net%22	C:/Users/guilh/Downloads/Genesis/www.widelab.co/%c3%a2%c2%80%c2%9dhttp_/cdn.jsdelivr.net_	(from https://www.widelab.co/)
18:35:39	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2019%20Mar%202025%2021:33:02%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/guilh/Downloads/Genesis/www.googletagmanager.com/gtm.45445.delayed	(from https://www.widelab.co/)
18:35:39	152749/152749	---M-Z	200	added ('OK')	text/css	etag:%22df08317babf51ab59f8073b477e6f899%22	https://cdn.prod.website-files.com/6422b97da981524088bb0b36/css/wideweb.4f4141bf0.min.css	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da981524088bb0b36/css/wideweb.4f4141bf0.min.css	(from https://www.widelab.co/)
18:35:40	5002/5002	---MCZ	200	added ('OK')	text/css	etag:W/%22138a-nCVqx5aWVkM0NV+MS4SFkGd/1YM%22	https://cdn.jsdelivr.net/npm/@splidejs/splide@4.1.4/dist/css/splide.min.css	C:/Users/guilh/Downloads/Genesis/cdn.jsdelivr.net/npm/@splidejs/splide@4.1.4/dist/css/splide.min.css	(from https://www.widelab.co/)
18:35:40	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=6422b97da981524088bb0b36	C:/Users/guilh/Downloads/Genesis/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c89cd4.js	(from https://www.widelab.co/)
